精美装修   采光很好  业主急售 带车位,锦华小区 _ 兴华南街,3室2厅 | 122.34平米 | 南 北 | 精装 | 7层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",106万,单价8665元/平米
管南区 电梯房 精装修 私产过五年,鸿基紫荆苑 _ 管南区域,3室2厅 | 113.18平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,"VR房源,房本满五年,商业类",134万,单价11840元/平米
地铁口双气三房，满五唯一，税费少,中鼎翡翠晶典 _ 管南区域,3室2厅 | 103平米 | 南 东 | 精装 | 低楼层(共25层)  | 塔楼,"近地铁,VR看装修,房本满五年",150万,单价14564元/平米
房子满五年 唯一 看房提前联系 房东诚心出售,紫荆小区 _ 陇海汽车站,3室1厅 | 86.95平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",100万,单价11501元/平米
满五年唯一，精装修，看房方便，产权清晰,橄榄城伍号院 _ 万客来,3室1厅 | 88.05平米 | 南 | 简装 | 26层  | 板塔结合,"VR看装修,房本满两年",130万,单价14765元/平米
富田太阳城108平三房，业主诚心出售，满五年,富田太阳城 _ 世纪欢乐园,3室1厅 | 107.69平米 | 南 | 简装 | 低楼层(共29层)  | 塔楼,"近地铁,VR房源,房本满五年,随时看房",115万,单价10679元/平米
二环旁，地铁口，南北通透大四房，品质社区,正商蓝钻 _ 管南区域,4室2厅 | 174.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",247万,单价14182元/平米
电梯洋房 满五年 无抵押 随时过户,未来和枫苑 _ 世纪欢乐园,3室2厅 | 119.7平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房",158万,单价13200元/平米
房子满两年，纯南户型，边户，好楼层,绿都澜湾樟园 _ 管南区域,3室2厅 | 88.83平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,"VR看装修,房本满两年,随时看房",155万,单价17450元/平米
翠园锦荣世家 3室2厅 南,翠园锦荣世家 _ 陇海汽车站,3室2厅 | 131.8平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",175万,单价13278元/平米
幸福港湾B区，东南户大三房，业主诚心售卖,正商•幸福港湾B区 _ 管南区域,3室2厅 | 132.87平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",161万,单价12118元/平米
诚心出售，南三环地铁口双气社区，税费少，看房方便,绿都紫荆华庭雅园 _ 管南区域,3室2厅 | 100.32平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",164万,单价16348元/平米
南北三开间朝南！地铁口！南北向,永恒亲亲家园 _ 世纪欢乐园,3室2厅 | 109.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",119万,单价10841元/平米
电梯小高层，精装跃层复式，契税满五年，无贷款。,美景天城 _ 世纪欢乐园,4室2厅 | 123.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"VR房源,房本满五年,随时看房",176万,单价14271元/平米
富田通透三房，满五年无贷款，中高楼层，采光无遮挡,富田太阳城 _ 世纪欢乐园,3室2厅 | 122.77平米 | 南 北 | 简装 | 高楼层(共29层)  | 板塔结合,"VR房源,房本满五年,随时看房",155万,单价12626元/平米
康桥美棠精装大三房，有露台，小区环境优越,康桥美棠 _ 万客来,3室2厅 | 120.65平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房",170万,单价14091元/平米
凤凰城D区 南北双阳台 满五唯一 采光充足,升龙凤凰城D区 _ 东建材,3室2厅 | 130.49平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",199万,单价15251元/平米
93年房子，商贷需要首付六成，市一环,陇海东路58号院 _ 商代遗址,3室1厅 | 66.04平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",56万,单价8480元/平米
二里岗一楼带院，大三房，没公摊，地铁菜市场医院都有,二里岗街21号院 _ 二里岗,3室2厅 | 117.35平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",122万,单价10397元/平米
内环紫荆山路 70年产权 四房 复式带40平空中花园,商都公寓 _ 二七广场,4室2厅 | 145.83平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",119.9万,单价8222元/平米
交通便利，视野开阔，无遮挡，业主诚心,南关街289号院 _ 二七广场,3室2厅 | 130.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,"近地铁,VR看装修,房本满两年,随时看房",117万,单价8941元/平米
近地铁，双气电梯房，近公园，居住舒适，看房方便,发展南郡 _ 管南区域,3室2厅 | 89.76平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,"VR看装修,房本满五年,随时看房",137.5万,单价15319元/平米
商城花园 双气三房 带小车棚 有钥匙 看房随时,商城花园社区 _ 商代遗址,3室2厅 | 96.87平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满两年,随时看房",117万,单价12079元/平米
富田太阳城 精装修 拎包入住 满五年 无贷款 有钥匙,富田太阳城 _ 世纪欢乐园,3室2厅 | 147.62平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,"VR看装修,房本满五年,随时看房",153万,单价10365元/平米
满五唯一业主诚心出售，交通方便，配套齐全,雅美新居 _ 管南区域,3室1厅 | 100.57平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,"VR看装修,随时看房",129.9万,单价12917元/平米
正商蓝钻，2梯2户 满五年单价1万2 业主急卖！,正商蓝钻 _ 管南区域,3室2厅 | 147.65平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,"VR看装修,房本满五年,随时看房",182万,单价12327元/平米
朝南小三房，采光好，视野开阔，满五年税低,美景天城 _ 世纪欢乐园,3室2厅 | 89.94平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,"VR看装修,房本满五年,随时看房",123万,单价13676元/平米
三卧朝南 中间楼层 采光好 急售,七里香堤 _ 管南区域,3室2厅 | 89.2平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房",133万,单价14911元/平米
金二环地铁口纯多层社区 二楼无遮挡 满五 全款房,宝景花园 _ 世纪欢乐园,3室2厅 | 128.47平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",167万,单价13000元/平米
南北通透，好楼层，采光*好，无遮挡，业主诚心卖,东郡香域巴黎 _ 世纪欢乐园,3室1厅 | 106平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",145万,单价13680元/平米
房子满五年 目前有租户，看房提前联系,正商•幸福港湾B区 _ 管南区域,3室2厅 | 128.33平米 | 南 北 | 简装 | 低楼层(共27层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",155万,单价12079元/平米
中州大道金二环双地铁交汇处舒适大三房,美景鸿城三期 _ 管南区域,3室1厅 | 121.83平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,"VR看装修,房本满五年,随时看房",188万,单价15432元/平米
满两年，精装修，未入住过，家电全新,绿都澜湾桂园 _ 管南区域,3室2厅 | 126.11平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满两年,随时看房",190万,单价15067元/平米
高档改善社区 两梯两户，精装修， 地铁口，绿化多,天擎花园 _ 万客来,3室2厅 | 132.57平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,"VR看装修,房本满五年,随时看房",192万,单价14483元/平米
大社区满五唯一大三房 税少采光好 中间楼层带暖气,富田太阳城 _ 世纪欢乐园,3室2厅 | 122.36平米 | 南 西 | 精装 | 中楼层(共29层)  | 塔楼,"VR房源,房本满五年,随时看房",150万,单价12259元/平米
正商金色港湾 大三室 满五唯一 诚心出售,正商金色港湾 _ 管南区域,3室2厅 | 138.31平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",155万,单价11207元/平米
紫荆山路康城棕榈泉89+9三房三地铁满五双气全明户型,康城棕榈泉 _ 二里岗,3室2厅 | 88.36平米 | 西北 | 简装 | 高楼层(共30层)  | 塔楼,"VR看装修,房本满五年,随时看房",144.5万,单价16354元/平米
航海路未来路 18年新小区 南北通透 业主急售 满二年,华储佳苑 _ 世纪欢乐园,3室2厅 | 123.23平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",164.8万,单价13374元/平米
朝南小l两房，户型合理，小高层，采光好，业..,通利紫荆尚都 _ 陇海汽车站,2室1厅 | 59.72平米 | 南 | 简装 | 低楼层(共20层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",95万,单价15908元/平米
小户型2+1，面积多，刚需必看,橡树玫瑰城 _ 管南区域,3室1厅 | 53.98平米 | 西 北 | 精装 | 26层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",91万,单价16859元/平米
满二年 精装修 同层户型优质的 位置好,正商中州城百合园 _ 管南区域,2室2厅 | 59.54平米 | 东南 | 精装 | 中楼层(共25层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",76万,单价12765元/平米
交通便利，户型好，采光好   ，全明设计。,盈家美地 _ 二里岗,2室1厅 | 85.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",105万,单价12307元/平米
高楼层  南北通透   采光好   看房随时,正商•幸福港湾B区 _ 管南区域,3室2厅 | 131.23平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",163万,单价12421元/平米
港区洋房花园式小区，满二有本，业主急售。中间楼层,名门郡景 _ 航空港商圈,3室2厅 | 133.46平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",80.5万,单价6032元/平米
北港万科南北通3室，地铁康平湖站，满二，看房有钥匙,万科美景魅力之城祥润园 _ 航空港商圈,3室1厅 | 88.04平米 | 北 南 | 精装 | 中楼层(共31层)  | 板楼,"近地铁,VR看装修,房本满两年,商业类",90万,单价10223元/平米
正弘，麓林苑小区，品质小区，品质物业,正弘中央公园麓林苑 _ 航空港商圈,3室2厅 | 121.49平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,"近地铁,VR房源,房本满两年,随时看房,商业类",108.5万,单价8931元/平米
正弘花语苑       业主诚心出售,正弘中央公园花语苑 _ 航空港商圈,3室2厅 | 89.12平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",73万,单价8192元/平米
万科非标楼层，使用率高，满五唯一业主急售，看房方便,万科美景魅力之城 _ 航空港商圈,3室1厅 | 69.18平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",70.5万,单价10191元/平米
正弘 康平湖 麓林苑 南北双向三房，满二有本税低,正弘中央公园麓林苑 _ 航空港商圈,3室2厅 | 93.87平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房",83万,单价8843元/平米
品质洋房社区精装婚房全新未住通透三房中间楼层低价出,中建森林上郡一期 _ 航空港商圈,3室2厅 | 89.81平米 | 东 | 精装 | 低楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房",81万,单价9020元/平米
精装修，兰河公园地铁口，即买即住,豫发大运城白鹭源 _ 航空港商圈,3室2厅 | 130.91平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",125万,单价9549元/平米
正弘精装通透三房户型，好楼层，定制家具，地暖铺设,正弘中央公园林语苑 _ 航空港商圈,3室2厅 | 91.08平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",99万,单价10870元/平米
户型好，总价低，位置好，业主诚心。,润丰锦尚 _ 航空港商圈,2室2厅 | 93.61平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",72万,单价7692元/平米
经典小三房户型值得购买采光好的,正弘中央公园麓林苑 _ 航空港商圈,3室1厅 | 98.16平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房,商业类",90万,单价9169元/平米
纯朝南小三室，精装修，价格可对比性高，户型方正,万科美景魅力之城祥润园 _ 航空港商圈,3室1厅 | 87.37平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,"近地铁,VR看装修,商业类",90万,单价10302元/平米
国风洋房小区，一梯两户，小区环境优美,豫发大运城国园 _ 航空港商圈,3室2厅 | 127.53平米 | 东南 | 简装 | 低楼层(共15层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",151万,单价11841元/平米
万科大品牌  好楼层小三房  业主诚心出售,万科美景魅力之城幽兰园 _ 航空港商圈,3室2厅 | 87.4平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,"VR房源,房本满两年,随时看房",83万,单价9497元/平米
水榭华城，大3房，均价7000，业主诚心急售,恒基水榭华城 _ 航空港商圈,3室2厅 | 115.17平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,"VR看装修,房本满两年,随时看房",78万,单价6773元/平米
此房为三房，无遮挡，视野开阔，看房方便  满五唯一,万科美景魅力之城幽兰园 _ 航空港商圈,3室1厅 | 87.06平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",86万,单价9879元/平米
业主急售，业主急售，业主急售，手慢无,正弘中央公园花语苑 _ 航空港商圈,3室1厅 | 89.13平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房",71万,单价7966元/平米
此房为三房，无遮挡，视野开阔，看房方便,万科美景魅力之城幽兰园 _ 航空港商圈,3室1厅 | 88.76平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",84万,单价9464元/平米
航空港区 大两房 南北户型 中间楼层,郑报润园二期 _ 航空港商圈,2室2厅 | 78.42平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",61万,单价7779元/平米
南北通透  好楼层  带车位！！,豫发大运城白鹭源 _ 航空港商圈,3室2厅 | 132.11平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",115万,单价8705元/平米
正弘麓林苑毛坯三房，有钥匙随时看房,正弘中央公园麓林苑 _ 航空港商圈,3室1厅 | 88.65平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,"VR房源,房本满两年,随时看房",78万,单价8799元/平米
南北通透大三房 ，满二 有本  采光好 随时可看房,豫发大运城白鹭源 _ 航空港商圈,3室1厅 | 132.38平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",110万,单价8310元/平米
满二有本，看房方便，业主进店登记。,豫发大运城国园 _ 航空港商圈,3室2厅 | 140.57平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",160万,单价11383元/平米
此房卖点洋房小区，一梯两户，南北通透,富田兴和苑 _ 航空港商圈,3室1厅 | 104.98平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",73万,单价6954元/平米
万科三房！采光无遮挡！业主诚心出售！,万科美景魅力之城祥润园 _ 航空港商圈,3室2厅 | 88.04平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",85万,单价9655元/平米
港区地铁口万科精装南北通透好房低价,万科美景魅力之城幽兰园 _ 航空港商圈,3室2厅 | 89.43平米 | 东 南 北 | 精装 | 低楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",85万,单价9505元/平米
万科精装三房，诚心出售，有车位，楼层好购房优选！,万科美景魅力之城幽兰园 _ 航空港商圈,3室1厅 | 88.91平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,"VR看装修,房本满两年",84.5万,单价9504元/平米
永威南樾，一级物业，业主精心装修 拎包入住 好楼层,永威南樾 _ 航空港商圈,3室2厅 | 90.42平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年",93万,单价10286元/平米
麓林苑 南北向大三房 高楼层 随时看房,正弘中央公园麓林苑 _ 航空港商圈,3室2厅 | 128.02平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,"近地铁,VR看装修,随时看房",112万,单价8749元/平米
正弘林语苑，南北通透三房，好楼层，带装修 ，采光好,正弘中央公园林语苑 _ 航空港商圈,3室2厅 | 92.66平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,VR看装修,90万,单价9713元/平米
润丰锦尚 精装修朝南两房93平69万满五年唯一,润丰锦尚 _ 航空港商圈,2室2厅 | 92.14平米 | 东南 | 精装 | 低楼层(共14层)  | 板楼,"VR看装修,房本满两年",66万,单价7164元/平米
万科开发商大品牌万科自己的物业服务好居住体验更佳。,万科美景魅力之城祥润园 _ 航空港商圈,3室1厅 | 87.44平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,"近地铁,VR房源,随时看房",82万,单价9378元/平米
永威一级物业，好楼层，视野好，业主诚心出售，赔钱卖,永威南樾瑞苑 _ 航空港商圈,3室2厅 | 100.02平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,"VR看装修,随时看房",93万,单价9299元/平米
小三室 好楼层 俯瞰北港全景 业主急售,名门郡景 _ 航空港商圈,3室2厅 | 88.59平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,"VR房源,随时看房",60万,单价6773元/平米
永威南越瑞苑，品质小区，品质物业,永威南樾瑞苑 _ 航空港商圈,3室2厅 | 87.98平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,"近地铁,VR看装修,商业类",93万,单价10571元/平米
九裕龙城 3室2厅 南,九裕龙城 _ 航空港商圈,3室2厅 | 99.31平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,房本满五年,42万,单价4230元/平米
低楼层 出入方便；南北通透；成熟小区配套齐全,永威南樾 _ 航空港商圈,3室2厅 | 132.38平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房,商业类",127万,单价9594元/平米
精装三室 太湖路小 学 好楼层 带地暖 税费少,正弘中央公园麓林苑 _ 航空港商圈,3室2厅 | 89.08平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",83万,单价9318元/平米
7层洋房社区 小面积住宅 楼层好，视野宽阔,富田兴和苑 _ 航空港商圈,3室2厅 | 124.03平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,商业类",125万,单价10079元/平米
裕鸿世界港 精装修洋房 南北户型 双花园  有地下室,裕鸿世界港丽宫 _ 航空港商圈,3室2厅 | 300平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,"VR房源,房本满两年,商业类",460万,单价15334元/平米
港区，独栋别墅，500平花园，三层小洋楼，休养生息,鑫港花园 _ 航空港商圈,11室4厅 | 500平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,"VR房源,房本满五年,随时看房",597万,单价11940元/平米
豫发大运城蓝山公馆 3室2厅 南 北,豫发大运城蓝山公馆 _ 航空港商圈,3室2厅 | 129.93平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,"近地铁,VR看装修,房本满两年,随时看房",158万,单价12161元/平米
润丰锦尚 3室2厅 南,润丰锦尚 _ 航空港商圈,3室2厅 | 111.22平米 | 南 | 简装 | 低楼层(共15层)  | 塔楼,"VR看装修,房本满两年,随时看房",120万,单价10790元/平米
环境优美空气新鲜适合居住人车分流安全放心,豫发大运城国园 _ 航空港商圈,3室1厅 | 140.03平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",175万,单价12498元/平米
中上楼层，不遮挡，风景好，前面洋房，满二有本,名门郡景 _ 航空港商圈,3室1厅 | 133.46平米 | 东 | 毛坯 | 中楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房",90万,单价6744元/平米
万科品质，业主割爱出售，Song车位，Song全屋品牌家具,万科美景魅力之城 _ 航空港商圈,3室1厅 | 119.46平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,"近地铁,VR房源,房本满两年",163万,单价13645元/平米
退台洋房品质社区，精装修，带院子，带地下室,豫发大运城蓝山公馆 _ 航空港商圈,3室1厅 | 138.47平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,"近地铁,VR看装修,房本满两年",300万,单价21666元/平米
契税满二唯一，精装小三房，业主诚心出售,正弘.尚文苑 _ 航空港商圈,3室2厅 | 85.76平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,"近地铁,VR房源,房本满两年",92万,单价10728元/平米
中建森林上郡76平小三室，业主诚心出售，随时看房,中建森林上郡一期 _ 航空港商圈,3室1厅 | 76.92平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,"VR看装修,房本满两年",64万,单价8321元/平米
中建森林上郡一期 2室2厅 南,中建森林上郡一期 _ 航空港商圈,2室2厅 | 86.91平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",68万,单价7825元/平米
业主急售，花园洋房社区，带地下室和院子,豫发大运城蓝山公馆 _ 航空港商圈,3室1厅 | 138.04平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,"近地铁,VR房源,随时看房,商业类",196万,单价14199元/平米
大三房，低容积小区，位置好，紧挨梅河，业主诚心出售,和昌盛世城邦瑞园 _ 园博园商圈,3室2厅 | 130.08平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,"VR看装修,房本满两年,随时看房,商业类",120万,单价9226元/平米
此房时大三房南北通透，边户，视野开阔，交通方便。,名门郡景 _ 航空港商圈,3室2厅 | 133.46平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",110万,单价8243元/平米
和昌盛世城邦 3室2厅 南 北,兴港和昌盛世城邦 _ 园博园商圈,3室2厅 | 130.97平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 平房,"VR房源,房本满两年,随时看房,商业类",115万,单价8781元/平米
水榭洋房，装修25万，业主诚心出售，看房方便,恒基水榭华城 _ 航空港商圈,3室2厅 | 133.93平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,"VR看装修,房本满两年,随时看房,商业类",125万,单价9334元/平米
此房满二有本，中间楼层，视野开阔，采光充足,正弘中央公园麓林苑 _ 航空港商圈,3室1厅 | 128.32平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",115万,单价8962元/平米
全款房 边户 通透户型  小区环境优美  业主诚心出售,恒基水榭华城 _ 航空港商圈,3室2厅 | 112.23平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",81万,单价7218元/平米
纯南3房 视野宽阔 采光充足 配套设施齐全,永威南樾 _ 航空港商圈,3室2厅 | 91.67平米 | 西南 | 精装 | 高楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",95万,单价10364元/平米
中建森林一号楼 东边户  采光视野好 有车位,中建森林上郡一期 _ 航空港商圈,3室2厅 | 89.84平米 | 东 | 毛坯 | 中楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",76万,单价8460元/平米
急售水榭小三房 毛坯 业主诚心出售 有钥匙手 随时看房,恒基水榭华城 _ 航空港商圈,3室2厅 | 89.83平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",70万,单价7793元/平米
急售 水榭华城大三房业主 包税出售 钥匙在手随时可看,恒基水榭华城 _ 航空港商圈,3室2厅 | 123.99平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",93万,单价7501元/平米
永威南樾边户三房南北通透业主诚心出售,永威南樾瑞苑 _ 航空港商圈,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",138万,单价10535元/平米
必看好房  业主急售  无抵押,恒基水榭华城 _ 航空港商圈,3室2厅 | 132.98平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",115万,单价8648元/平米
正弘尚文苑精装修小三房，三开间朝南，契税满二,正弘.尚文苑 _ 航空港商圈,3室2厅 | 87.03平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",90万,单价10342元/平米
永威南樾瑞苑 通透三居室 中上好楼层 随时看房,永威南樾瑞苑 _ 航空港商圈,3室2厅 | 89.94平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",96万,单价10674元/平米
水榭洋房顶复，露天大露台，南北双阳台，有钥匙随时看,恒基水榭华城 _ 航空港商圈,4室2厅 | 186.45平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,"VR房源,房本满两年,随时看房,商业类",175万,单价9386元/平米
满二有本，全明户型，精装修，拎包入住，交通便利,浩创悦城 _ 航空港商圈,3室2厅 | 93.62平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",70万,单价7478元/平米
格局好 视野宽阔 采光充足 配套设施,永威南樾 _ 航空港商圈,3室2厅 | 96.93平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",102万,单价10524元/平米
一梯两户南北通透经典三居室纯洋房社区业主诚心出售,富田兴和苑 _ 航空港商圈,3室1厅 | 106.49平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",85万,单价7982元/平米
一梯两户 纯洋房社区 得房率高 带车位,和昌盛世城邦润园 _ 园博园商圈,3室2厅 | 128.99平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,"VR看装修,房本满两年,随时看房",97万,单价7520元/平米
房子做了二次装修，保养很不错，很干净，随时可以住,万科美景魅力之城幽兰园 _ 航空港商圈,3室3厅 | 87.06平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",89万,单价10223元/平米
浩创大三房 南北通透 有钥匙 随时看房,浩创悦城 _ 航空港商圈,3室2厅 | 132.29平米 | 南 北 | 简装 | 低楼层(共12层)  | 暂无数据,"近地铁,VR看装修,房本满两年,随时看房",89万,单价6728元/平米
户型方正，采光无遮挡，地理位置好，离地铁近,豫发大运城白鹭源 _ 航空港商圈,3室2厅 | 132.64平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",120万,单价9048元/平米
正弘中央公园麓林苑 3室1厅 东,正弘中央公园麓林苑 _ 航空港商圈,3室1厅 | 93.87平米 | 东 | 毛坯 | 高楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满五年",86万,单价9162元/平米
